,dataset,sample,celltype,subsample,f1,recall,precision
0,cytof_data_tmp,T,not annotated,50000,0.9977456244620241,0.9976229508196721,0.9978683282774453
1,cytof_data_tmp,T,CD4+ T cell,50000,0.9949841892923346,0.9930351507236914,0.996940893696056
2,cytof_data_tmp,T,NK cell,50000,0.9908212560386473,0.989387361312108,0.99225931301403
3,cytof_data_tmp,T,CD8+ T cell,50000,0.9936237570785215,0.9942887738711405,0.9929596292665538
4,cytof_data_tmp,T,Double negative T cell,50000,0.938101788170564,0.9045092838196287,0.9742857142857143
5,cytof_data_tmp,T,Double positive T cell,50000,0.916083916083916,0.8590163934426229,0.9812734082397003
6,cytof_data_tmp,U,not annotated,50000,0.9989261870302069,0.9984134391040598,0.999439461883408
7,cytof_data_tmp,U,CD4+ T cell,50000,0.9973082465537398,0.9972811310494835,0.9973353635325466
8,cytof_data_tmp,U,NK cell,50000,0.9938420348058903,0.9930444087747459,0.9946409431939979
9,cytof_data_tmp,U,CD8+ T cell,50000,0.9948450244698206,0.9932247557003258,0.9964705882352941
10,cytof_data_tmp,U,Double negative T cell,50000,0.9106529209621993,0.8603896103896104,0.9671532846715328
11,cytof_data_tmp,U,Double positive T cell,50000,0.8924558587479936,0.8475609756097561,0.9423728813559322
12,cytof_data_tmp,B,not annotated,50000,0.9984519050809861,0.9983826995055681,0.9985211202514096
13,cytof_data_tmp,B,CD4+ T cell,50000,0.9970944653107505,0.9968119022316685,0.9973771886297583
14,cytof_data_tmp,B,NK cell,50000,0.996498139636682,0.9956265033894599,0.9973713033953998
15,cytof_data_tmp,B,CD8+ T cell,50000,0.9928901929804762,0.9936751750621188,0.992106450157871
16,cytof_data_tmp,B,Double negative T cell,50000,0.808641975308642,0.6931216931216931,0.9703703703703703
17,cytof_data_tmp,B,Double positive T cell,50000,0.9313482216708023,0.8964968152866242,0.9690189328743546
18,cytof_data_tmp,A,not annotated,50000,0.997665464026923,0.9971515151515151,0.9981799429715464
19,cytof_data_tmp,A,CD4+ T cell,50000,0.9965670837234375,0.9968216130313866,0.9963126843657817
20,cytof_data_tmp,A,NK cell,50000,0.9968387776606955,0.9949516196886832,0.9987331081081081
21,cytof_data_tmp,A,CD8+ T cell,50000,0.9949974396344586,0.9955856850070944,0.9944098889851193
22,cytof_data_tmp,A,Double negative T cell,50000,0.5316455696202532,0.3620689655172414,1.0
23,cytof_data_tmp,A,Double positive T cell,50000,0.9131034482758621,0.8710526315789474,0.9594202898550724
24,cytof_data_tmp,H,not annotated,50000,0.9987183221672008,0.9985438024231128,0.998892902925067
25,cytof_data_tmp,H,CD4+ T cell,50000,0.9976712912853816,0.9978349297992389,0.9975077064340526
26,cytof_data_tmp,H,NK cell,50000,0.9982564221783099,0.9979084359749012,0.9986046511627907
27,cytof_data_tmp,H,CD8+ T cell,50000,0.994570749915168,0.9958379342563493,0.9933067864102347
28,cytof_data_tmp,H,Double negative T cell,50000,0.9619450317124735,0.9420289855072463,0.9827213822894169
29,cytof_data_tmp,H,Double positive T cell,50000,0.9376181474480152,0.9051094890510949,0.9725490196078431
30,cytof_data_tmp,C,not annotated,50000,0.9987895617501512,0.9987184507493503,0.9988606828781998
31,cytof_data_tmp,C,CD4+ T cell,50000,0.9973882762623332,0.9968097447795824,0.9979674796747967
32,cytof_data_tmp,C,NK cell,50000,0.9927513394264103,0.9880803011292346,0.9974667511082964
33,cytof_data_tmp,C,CD8+ T cell,50000,0.9945122450651159,0.9936170212765958,0.9954090834563043
34,cytof_data_tmp,C,Double negative T cell,50000,0.9263157894736841,0.8835341365461847,0.9734513274336283
35,cytof_data_tmp,C,Double positive T cell,50000,0.9281045751633987,0.8658536585365854,1.0
36,cytof_data_tmp,O,not annotated,50000,0.9987817216956781,0.9983900264200792,0.9991737244370997
37,cytof_data_tmp,O,CD4+ T cell,50000,0.9963702359346643,0.9959685547268696,0.9967722412749647
38,cytof_data_tmp,O,NK cell,50000,0.9961642278732774,0.9940459313864474,0.9982915717539863
39,cytof_data_tmp,O,CD8+ T cell,50000,0.9942982256078091,0.9947065802683216,0.9938902060915558
40,cytof_data_tmp,O,Double negative T cell,50000,0.9763130792996909,0.9634146341463414,0.9895615866388309
41,cytof_data_tmp,O,Double positive T cell,50000,0.9058171745152355,0.8471502590673575,0.9732142857142857
42,cytof_data_tmp,J,not annotated,50000,0.9985052316890882,0.9984403431245126,0.998570128688418
43,cytof_data_tmp,J,CD4+ T cell,50000,0.9974050632911393,0.9970895286301803,0.9977207977207977
44,cytof_data_tmp,J,NK cell,50000,0.9888111888111888,0.9860529986052998,0.9915848527349228
45,cytof_data_tmp,J,CD8+ T cell,50000,0.9949049471319782,0.9950684931506849,0.9947414548641542
46,cytof_data_tmp,J,Double negative T cell,50000,0.8644501278772379,0.7752293577981652,0.976878612716763
47,cytof_data_tmp,J,Double positive T cell,50000,0.8980891719745222,0.8392857142857143,0.9657534246575342
