,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.968501,0.970243,0.963146,0.954562,0.945683
recall,0.951281,0.949461,0.929301,0.913202,0.896962
precision,0.986355,0.991956,0.999548,0.999847,1.0
