,x_coordinate,y_coordinate
0,426.39586968568744,1907.4732807407388
1,249.08044085843952,1121.6291188009636
2,302.43562126685305,581.4651933107718
3,1235.4494639011352,575.2214795858741
4,1479.3923224485225,705.3508563481864
5,1777.7262771020817,881.3215591864334
6,1864.0692614058757,1395.329175903512
7,1692.7134094079638,2111.0390453562986
8,1525.028820525358,2143.2785601152323
9,1158.0774704311648,2177.2470882396515
10,1008.7811977034036,2186.8280861870426
11,894.763527323686,2187.2912968196706
12,725.0636881206924,2179.5600434250077
