,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.45697,0.600141,0.574597,0.53446,0.527617
recall,0.629209,0.558811,0.49847,0.442501,0.419764
precision,0.358763,0.648073,0.678168,0.674667,0.710059
