,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.526316,0.614958,0.591549,0.578035,0.573913
recall,0.489796,0.453061,0.428571,0.408163,0.404082
precision,0.56872,0.956897,0.954545,0.990099,0.99
