,x_coordinate,y_coordinate
0,0.008437074477677688,4.983758362448467
1,-3.865386743667504e-05,4.968404682751251
2,-4.983537266955631e-05,4.014698289936405
3,-4.987759159344335e-05,3.117606451267442
4,-4.9713992944732164e-05,1.8940448402048147
5,-4.858870481616044e-05,1.6743796462601723
6,-4.3528629215022744e-05,1.5827523297024004
7,-2.3752779175299343e-05,1.4263586580409657
8,1.7937529049959035e-05,1.4216958513794586
9,0.20208146637889537,1.4623548122866754
10,0.9819687990992826,1.642750780778746
11,2.20508499731227,1.947781412430267
12,2.3091316198459753,2.3614421730571458
13,2.464213209561747,3.353543945730763
14,2.276439788829879,4.481102895166229
15,2.2479229354424954,4.596202016889674
16,2.0372707280523294,4.987857634965971
17,1.8092138194667924,5.292351619513581
18,1.5463991699436266,5.460644288311837
19,1.2724896151143408,5.417887362634577
20,1.1813943336799213,5.4032613751865
21,0.16656914342430135,5.179639246053005
