,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.588401,0.67444,0.683465,0.669795,0.66949
recall,0.80352,0.70336,0.62496,0.57088,0.55648
precision,0.46414,0.647804,0.754054,0.810173,0.840097
