,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.795232,0.803653,0.799267,0.764986,0.758984
recall,0.747798,0.704564,0.698159,0.643715,0.634107
precision,0.849091,0.935175,0.93462,0.942556,0.945107
