,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.126277,0.610329,0.606635,0.602871,0.596154
recall,0.468966,0.448276,0.441379,0.434483,0.427586
precision,0.072961,0.955882,0.969697,0.984375,0.984127
