,x_coordinate,y_coordinate
0,0.8284877252185985,5.254447126990538
1,3.725189246800107e-05,5.034216433563364
2,-2.715068786021293e-05,4.871540474643931
3,-4.5706656955613146e-05,4.705281930125033
4,-4.915182106716571e-05,4.4483113375899475
5,-4.95678981242642e-05,3.841992543093726
6,-4.9890262250590166e-05,2.8502923084059937
7,-4.98125870098566e-05,2.226274367579591
8,-4.9299794115655595e-05,2.0286955637540722
9,-4.7894790143378074e-05,1.5906257653388403
10,-4.3615238031307435e-05,1.5158508411480887
11,-6.959978469418149e-06,1.3319361308104594
12,1.4833246495868323e-05,1.2621658214821954
13,0.922119264229663,1.4364148624072859
14,1.326776159289174,1.7675544328568542
15,1.6578195669975708,2.064834943730032
16,1.9236693115057626,2.4417695458511806
17,2.4528145899016893,3.293667900062144
18,2.4076565648638395,3.801909069985483
19,2.362973634137601,3.8956983452687814
20,2.1849523838187217,4.231438039708141
21,2.0017098510693643,4.537885101746831
22,1.8007673330762919,4.771855150568268
23,1.741002047249616,4.826622096663722
24,1.3430836339788492,5.107264771869929
25,1.2971660311300284,5.1392674545527335
