,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.506623,0.617445,0.693037,0.703704,0.730782
recall,0.93024,0.9072,0.80736,0.76608,0.70272
precision,0.348102,0.467976,0.607074,0.65072,0.761179
