,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.233735,0.782609,0.786408,0.780488,0.77451
recall,0.776,0.648,0.648,0.64,0.632
precision,0.137589,0.987805,1.0,1.0,1.0
