,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.2022,0.207319,0.218096,0.221336,0.217436
recall,0.856,0.77952,0.66528,0.58592,0.47328
precision,0.11464,0.119558,0.130427,0.136438,0.141139
