,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.353774,0.746269,0.72449,0.691099,0.641304
recall,0.6,0.6,0.568,0.528,0.472
precision,0.250836,0.986842,1.0,1.0,1.0
