,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.990524,0.993805,0.993805,0.993805,0.993645
recall,0.995556,0.993016,0.993016,0.993016,0.992698
precision,0.985544,0.994595,0.994595,0.994595,0.994593
