,sample,cluster,f1,recall,precision,hierarchy,level
0,O,cluster_CD8+ TE T cell,0.853395,0.751869,0.986619,5,lvl5
0,O,cluster_Double negative T cell,0.770654,0.635163,0.979624,4,lvl5
0,O,cluster_NK cell,0.891574,0.8055,0.998243,3,lvl5
0,O,cluster_Naive CD8+ T cell,0.872513,0.839767,0.907917,3,lvl5
0,O,cluster_CD4+ EM T cell,0.56305,0.509014,0.629921,4,lvl5
0,O,cluster_CD4+ TRM T cell,0.586538,0.465649,0.792208,5,lvl5
0,O,cluster_CD8+ EM T cell,0.595369,0.455903,0.85777,5,lvl5
0,O,cluster_CD8+ TRM T cell,0.649573,0.493506,0.95,5,lvl5
0,O,cluster_Double positive T cell,0.255411,0.15285,0.776316,3,lvl5
0,O,cluster_Naive CD4+ T cell,0.667695,0.730493,0.614838,4,lvl5
0,T,cluster_CD4+ CM T cell,0.836092,0.866012,0.80817,3,lvl5
0,T,cluster_CD4+ TEMRA,0.545455,0.375,1.0,3,lvl5
0,T,cluster_CD8+ CM T cell,0.441176,0.357143,0.576923,5,lvl5
0,T,cluster_CD8+ TE T cell,0.620879,0.518349,0.773973,3,lvl5
0,T,cluster_Double negative T cell,0.388087,0.285146,0.607345,2,lvl5
0,T,cluster_NK cell,0.827558,0.728654,0.957528,3,lvl5
0,T,cluster_Naive CD8+ T cell,0.920073,0.931937,0.908507,3,lvl5
0,T,cluster_CD4+ EM T cell,0.544,0.406699,0.821256,5,lvl5
0,T,cluster_CD4+ TRM T cell,0.355556,0.228571,0.8,2,lvl5
0,T,cluster_CD8+ EM T cell,0.776538,0.794725,0.759165,4,lvl5
0,T,cluster_CD8+ TRM T cell,0.615385,0.509804,0.776119,5,lvl5
0,T,cluster_Double positive T cell,0.398977,0.255738,0.906977,2,lvl5
0,T,cluster_Naive CD4+ T cell,0.668347,0.536421,0.88633,5,lvl5
0,U,cluster_CD4+ CM T cell,0.826816,0.882969,0.777379,3,lvl5
0,U,cluster_CD4+ TEMRA,0.554217,0.396552,0.92,3,lvl5
0,U,cluster_CD8+ CM T cell,0.488228,0.399594,0.627389,5,lvl5
0,U,cluster_CD8+ TE T cell,0.702703,0.573529,0.906977,4,lvl5
0,U,cluster_Double negative T cell,0.53913,0.402597,0.815789,3,lvl5
0,U,cluster_NK cell,0.860867,0.759765,0.993007,4,lvl5
0,U,cluster_Naive CD8+ T cell,0.920031,0.871668,0.974076,5,lvl5
0,U,cluster_CD4+ EM T cell,0.407432,0.391083,0.425208,4,lvl5
0,U,cluster_CD4+ TRM T cell,0.529081,0.38843,0.829412,4,lvl5
0,U,cluster_CD8+ EM T cell,0.789656,0.79443,0.784938,4,lvl5
0,U,cluster_CD8+ TRM T cell,0.637255,0.503876,0.866667,5,lvl5
0,U,cluster_Double positive T cell,0.589226,0.533537,0.657895,2,lvl5
0,U,cluster_Naive CD4+ T cell,0.715527,0.668161,0.770121,5,lvl5
