,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.083333,0.186047,0.186047,0.171875,0.15748
recall,0.111111,0.102564,0.102564,0.094017,0.08547
precision,0.066667,1.0,1.0,1.0,1.0
