,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.980438,0.990367,0.989171,0.989244,0.989921
recall,0.992175,0.989515,0.986385,0.985915,0.983725
precision,0.968974,0.991221,0.991974,0.992595,0.996197
