,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.72431,0.768616,0.769647,0.730652,0.713369
recall,0.78944,0.73824,0.72864,0.65408,0.6224
precision,0.669108,0.801598,0.815544,0.82753,0.835481
