,tool,panel,level,mean f1,mean precision,mean recall
0,linear svm,monocyte panel,level 1,0.918,0.919,0.922
0,linear svm,monocyte panel,level 2,0.459,0.599,0.468
0,linear svm,PBMC panel,level 1,0.97,0.962,0.987
0,linear svm,PBMC panel,level 2,0.859,0.926,0.866
0,linear svm,cyTOF panel,level 2,0.991,0.993,0.989
0,linear svm,cyTOF panel,level 3,0.892,0.942,0.857
0,linear svm,cyTOF panel,level 4,0.881,0.927,0.847
0,linear svm,cyTOF panel,level 5,0.816,0.884,0.771
