"","sample","cell_type","set_size","score","value"
"121","4","B cell","full","precision",0.557877141663184
"122","4","B cell","full","recall",0.995525727069351
"123","4","B cell","full","f1",0.715050883770755
"124","4","B cell","subset","precision",0.995525727069351
"125","4","B cell","subset","recall",0.995525727069351
"126","4","B cell","subset","f1",0.995525727069351
"127","4","Dendritic cell","full","precision",0.809978593775729
"128","4","Dendritic cell","full","recall",0.988743718592965
"129","4","Dendritic cell","full","f1",0.890477914554671
"130","4","Dendritic cell","subset","precision",0.993013972055888
"131","4","Dendritic cell","subset","recall",0.995
"132","4","Dendritic cell","subset","f1",0.994005994005994
"133","4","Monocyte","full","precision",0.923253502033439
"134","4","Monocyte","full","recall",0.990133364348298
"135","4","Monocyte","full","f1",0.955524585410567
"136","4","Monocyte","subset","precision",0.968431277319087
"137","4","Monocyte","subset","recall",0.997
"138","4","Monocyte","subset","f1",0.982508006898251
"139","4","NK cell","full","precision",0.979025859535704
"140","4","NK cell","full","recall",0.996001494768311
"141","4","NK cell","full","f1",0.987440723177238
"142","4","NK cell","subset","precision",0.998999499749875
"143","4","NK cell","subset","recall",0.9985
"144","4","NK cell","subset","f1",0.998749687421855
"145","4","T cell","full","precision",0.997219176983342
"146","4","T cell","full","recall",0.991255581543696
"147","4","T cell","full","f1",0.994228436612772
"148","4","T cell","subset","precision",0.999497487437186
"149","4","T cell","subset","recall",0.9945
"150","4","T cell","subset","f1",0.996992481203008
