,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.078788,0.195122,0.181818,0.181818,0.181818
recall,0.118182,0.109091,0.1,0.1,0.1
precision,0.059091,0.923077,1.0,1.0,1.0
