,x_coordinate,y_coordinate
0,0.4926578760029183,0.7153339434675613
1,1.4563527733897483,0.28981215577093156
2,1.8611935261650545,0.19672790573583823
3,2.843200266157554,-2.8832351696812174e-05
4,2.8746934228479115,-3.748355196797018e-05
5,3.4033843038592813,-3.739643204983327e-05
6,4.426340384525649,-2.3146142096882073e-05
7,4.574534370099665,-1.899638773020218e-06
8,5.009246817695569,0.256984361881722
9,5.555566394117081,0.6201530131433172
10,6.051639684571679,1.0439494280002661
11,6.195885759672133,1.284422170346723
12,6.267886301218133,1.992844930375702
13,5.928639306229663,2.1829187518974984
14,5.457668113209166,2.278141707362861
15,4.945403740923951,2.3728121873724177
16,4.660071692680825,2.3980142380237757
17,3.919783706501162,2.3943769508357002
18,3.255928017593219,2.3710927083018225
19,2.641034074221961,2.2297371220594138
20,2.197239640341966,2.0834536516438305
21,1.4945874997064543,1.596018621507262
