,sample,cluster,f1,recall,precision,hierarchy,celltype
0,NL01,cluster_B cell,0.930643,0.870283,1.0,2,B cell
0,NL01,cluster_Dendritic cell,0.4474,0.288162,1.0,4,Dendritic cell
0,NL01,cluster_Monocyte,0.970265,0.95498,0.986048,2,Monocyte
0,NL01,cluster_NK cell,0.873864,0.775985,1.0,2,NK cell
0,NL01,cluster_T cell,0.985881,0.972902,0.999211,3,T cell
0,NL03,cluster_B cell,0.948267,0.90595,0.994731,2,B cell
0,NL03,cluster_Dendritic cell,0.51497,0.348335,0.987245,4,Dendritic cell
0,NL03,cluster_Monocyte,0.94599,0.928382,0.964279,2,Monocyte
0,NL03,cluster_NK cell,0.726165,0.570145,0.999746,3,NK cell
0,NL03,cluster_T cell,0.990822,0.982769,0.999007,2,T cell
0,NL05,cluster_B cell,0.890543,0.803,0.999509,1,B cell
0,NL05,cluster_Dendritic cell,0.697674,0.546624,0.964083,4,Dendritic cell
0,NL05,cluster_Monocyte,0.925624,0.871594,0.986796,3,Monocyte
0,NL05,cluster_NK cell,0.888097,0.802804,0.993669,4,NK cell
0,NL05,cluster_T cell,0.96906,0.948374,0.990668,2,T cell
0,NL07,cluster_B cell,0.924478,0.862138,0.996536,1,B cell
0,NL07,cluster_Dendritic cell,0.580514,0.412104,0.981693,4,Dendritic cell
0,NL07,cluster_Monocyte,0.962629,0.9319,0.995454,2,Monocyte
0,NL07,cluster_NK cell,0.929268,0.86857,0.999088,3,NK cell
0,NL07,cluster_T cell,0.996528,0.994028,0.999041,1,T cell
0,NL09,cluster_B cell,0.807418,0.677033,1.0,1,B cell
0,NL09,cluster_Dendritic cell,0.694631,0.533505,0.995192,4,Dendritic cell
0,NL09,cluster_Monocyte,0.909868,0.840711,0.991422,3,Monocyte
0,NL09,cluster_NK cell,0.936265,0.88144,0.998364,2,NK cell
0,NL09,cluster_T cell,0.994142,0.988987,0.99935,1,T cell
