,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.719108,0.741902,0.722232,0.716067,0.698141
recall,0.784,0.69632,0.66688,0.65248,0.6128
precision,0.664137,0.793871,0.787604,0.793385,0.811097
