,metric,sample,value,cell_type_level,cell_type,hierarchy
13,f1score,NL07,0.9009009009009009,cell_type_level_1,B cell,final_gate_5
14,f1score,NL09,0.8,cell_type_level_1,B cell,final_gate_5
0,precision,NL01,0.12797074954296161,cell_type_level_1,Dendritic cell,final_gate_1
1,precision,NL03,0.116600790513834,cell_type_level_1,Dendritic cell,final_gate_1
2,precision,NL05,0.22193877551020408,cell_type_level_1,Dendritic cell,final_gate_1
3,precision,NL07,0.0851063829787234,cell_type_level_1,Dendritic cell,final_gate_1
4,precision,NL09,0.16666666666666666,cell_type_level_1,Dendritic cell,final_gate_1
5,recall,NL01,0.41420118343195267,cell_type_level_1,Dendritic cell,final_gate_1
6,recall,NL03,0.4041095890410959,cell_type_level_1,Dendritic cell,final_gate_1
7,recall,NL05,0.33984375,cell_type_level_1,Dendritic cell,final_gate_1
8,recall,NL07,0.3137254901960784,cell_type_level_1,Dendritic cell,final_gate_1
9,recall,NL09,0.4411764705882353,cell_type_level_1,Dendritic cell,final_gate_1
10,f1score,NL01,0.19553072625698326,cell_type_level_1,Dendritic cell,final_gate_1
11,f1score,NL03,0.18098159509202452,cell_type_level_1,Dendritic cell,final_gate_1
12,f1score,NL05,0.26851851851851855,cell_type_level_1,Dendritic cell,final_gate_1
13,f1score,NL07,0.13389121338912133,cell_type_level_1,Dendritic cell,final_gate_1
14,f1score,NL09,0.24193548387096772,cell_type_level_1,Dendritic cell,final_gate_1
0,precision,NL01,0.9857142857142858,cell_type_level_1,Dendritic cell,final_gate_2
1,precision,NL03,0.6746987951807228,cell_type_level_1,Dendritic cell,final_gate_2
2,precision,NL05,0.9101123595505618,cell_type_level_1,Dendritic cell,final_gate_2
3,precision,NL07,0.8333333333333334,cell_type_level_1,Dendritic cell,final_gate_2
4,precision,NL09,0.8365384615384616,cell_type_level_1,Dendritic cell,final_gate_2
5,recall,NL01,0.40828402366863903,cell_type_level_1,Dendritic cell,final_gate_2
6,recall,NL03,0.3835616438356164,cell_type_level_1,Dendritic cell,final_gate_2
7,recall,NL05,0.31640625,cell_type_level_1,Dendritic cell,final_gate_2
8,recall,NL07,0.29411764705882354,cell_type_level_1,Dendritic cell,final_gate_2
9,recall,NL09,0.4264705882352941,cell_type_level_1,Dendritic cell,final_gate_2
10,f1score,NL01,0.5774058577405857,cell_type_level_1,Dendritic cell,final_gate_2
11,f1score,NL03,0.4890829694323144,cell_type_level_1,Dendritic cell,final_gate_2
12,f1score,NL05,0.46956521739130436,cell_type_level_1,Dendritic cell,final_gate_2
13,f1score,NL07,0.4347826086956522,cell_type_level_1,Dendritic cell,final_gate_2
14,f1score,NL09,0.564935064935065,cell_type_level_1,Dendritic cell,final_gate_2
0,precision,NL01,1.0,cell_type_level_1,Dendritic cell,final_gate_3
1,precision,NL03,0.9122807017543859,cell_type_level_1,Dendritic cell,final_gate_3
2,precision,NL05,0.9855072463768116,cell_type_level_1,Dendritic cell,final_gate_3
3,precision,NL07,0.8666666666666667,cell_type_level_1,Dendritic cell,final_gate_3
4,precision,NL09,0.9310344827586207,cell_type_level_1,Dendritic cell,final_gate_3
