,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.794382,0.824814,0.778499,0.759145,0.754209
recall,0.815052,0.755805,0.672538,0.639712,0.627702
precision,0.774734,0.907692,0.924092,0.933411,0.944578
