,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.119741,0.342453,0.344182,0.343768,0.3222
recall,0.223816,0.220466,0.213979,0.213463,0.194776
precision,0.081734,0.766657,0.879103,0.882437,0.931771
