,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.822184,0.83134,0.829239,0.828537,0.8136
recall,0.742769,0.717975,0.714876,0.713843,0.692149
precision,0.920615,0.987216,0.987161,0.987143,0.986745
