,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.373832,0.58427,0.579545,0.571429,0.563218
recall,0.48,0.416,0.408,0.4,0.392
precision,0.306122,0.981132,1.0,1.0,1.0
