,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.763957,0.890135,0.892443,0.892248,0.890493
recall,0.810159,0.806349,0.806032,0.805714,0.802857
precision,0.722741,0.993352,0.999606,0.999606,0.999605
