,x_coordinate,y_coordinate
0,2.40250004008879,2.345322587719196
1,2.155126464987187,1.5457890999207364
2,2.223209620693252,1.0848435958723266
3,2.2963956476179157,0.8026371866287327
4,3.0120463263311783,0.24862138321126706
5,3.134559028550426,0.16923612004344013
6,3.663977604943756,0.04365525317406439
7,4.344362440273001,0.04549729038951411
8,4.705742871549114,0.05344086398904175
9,5.040431401631673,0.36633948355423546
10,4.967051488585628,1.318327897537997
11,4.936389463819257,1.5823795422091453
12,4.8285227640171495,2.0220633347131796
13,4.747524540837723,2.2584768388995684
14,4.707387627805124,2.3026466581757536
15,4.650920935733551,2.3642866777088365
16,4.105514254782186,2.394726683843514
17,4.033937127803911,2.39807898806302
18,3.6437610227614092,2.3976939650843376
19,3.4430906569088178,2.3937352107816987
20,3.017526881989547,2.384372841701706
