,x_coordinate,y_coordinate
0,994.0053934412177,1311.7122979233031
1,990.3162200481611,858.5264407916532
2,1000.7319021388811,643.1414189387574
3,1159.891311974425,532.2071923527986
4,1246.1483649079114,493.44866041512677
5,1665.5477181139768,491.5743582236978
6,2292.3051538726804,605.9503645388688
7,2454.4494951317865,699.4116653137672
8,2510.0685540216823,996.9162856198898
9,2577.777388526115,1500.8840011762675
10,2306.4655312269438,1674.79240309139
11,1754.550022498882,1678.2303863373954
12,1138.226183282938,1573.7123235058905
13,1068.8979072853977,1465.5895702169942
