,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.837624,0.865424,0.873662,0.873662,0.874598
recall,0.815029,0.805395,0.786127,0.786127,0.786127
precision,0.861507,0.935123,0.983133,0.983133,0.985507
