,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.794843,0.822757,0.815013,0.813088,0.808857
recall,0.839071,0.752602,0.730184,0.726181,0.716573
precision,0.755043,0.907336,0.922144,0.923625,0.928423
