,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.57772,0.763359,0.782716,0.777568,0.743162
recall,0.75,0.7287,0.710762,0.691704,0.624439
precision,0.469803,0.80148,0.870879,0.88777,0.917628
