level,1,2,3,4,5
lvl2,18.75,50.0,31.25,0.0,0.0
lvl3,0.0,35.0,42.5,15.0,7.5
lvl4,0.0,5.357142857142857,28.57142857142857,44.642857142857146,21.428571428571427
lvl5,0.0,9.615384615384617,29.807692307692307,27.884615384615387,32.69230769230769
