,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.75283,0.893431,0.894221,0.894221,0.894027
recall,0.812698,0.811746,0.810476,0.810476,0.810159
precision,0.701178,0.993395,0.997266,0.997266,0.997265
