,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.381562,0.565825,0.556382,0.561887,0.549719
recall,0.846961,0.504591,0.408833,0.400962,0.384346
precision,0.24625,0.643973,0.870577,0.938588,0.964874
