,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.457068,0.67702,0.627887,0.622001,0.618011
recall,0.839091,0.609969,0.481417,0.464801,0.459117
precision,0.314075,0.760632,0.902459,0.939876,0.945095
