,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.817204,0.823529,0.799759,0.796093,0.796579
recall,0.785124,0.752066,0.686983,0.673554,0.673554
precision,0.852018,0.91,0.956835,0.973134,0.974589
