marker,hierarchy,cluster
AB_CD16,1,CD16+ CD4+ T cell
AB_CD4,1,CD16+ CD4+ T cell
AB_CEACAM8,2,CD16+ CD4+ T cell
AB_CD3,2,CD16+ CD4+ T cell
