,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.876381,0.880891,0.923502,0.927313,0.928461
recall,0.897368,0.895263,0.88,0.872895,0.872632
precision,0.856354,0.866972,0.971528,0.988968,0.991923
