,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.980604,0.98072,0.975835,0.9718,0.952864
recall,0.969765,0.969219,0.956913,0.947242,0.910645
precision,0.991687,0.992498,0.995521,0.997665,0.999189
