marker,hierarchy,cluster
ICOS,1,C7
CD38,1,C7
CD28,2,C7
CD8,2,C7
Lag3,3,C7
CD45RO,3,C7
CD16,4,C7
ICOS,4,C7
CD25,5,C7
CD38,5,C7
