,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.697849,0.723298,0.690507,0.684385,0.667121
recall,0.727578,0.649103,0.595291,0.577354,0.548206
precision,0.670455,0.816643,0.821981,0.840131,0.851916
