,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.273007,0.691674,0.717017,0.714424,0.706341
recall,0.60181,0.570136,0.565611,0.556561,0.546003
precision,0.176549,0.87907,0.979112,0.997297,1.0
