,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.682933,0.904039,0.906072,0.906039,0.906039
recall,0.835238,0.831429,0.831429,0.831111,0.831111
precision,0.577607,0.990545,0.995439,0.995816,0.995816
