,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.620306,0.778443,0.7925,0.784987,0.748153
recall,0.75,0.7287,0.710762,0.691704,0.624439
precision,0.528854,0.835476,0.89548,0.907353,0.932998
