,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.721437,0.744186,0.7255,0.719986,0.704044
recall,0.784,0.69632,0.66688,0.65248,0.6128
precision,0.668121,0.799119,0.79542,0.803072,0.827214
