,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.711744,0.750958,0.736434,0.731518,0.731518
recall,0.613497,0.601227,0.582822,0.576687,0.576687
precision,0.847458,1.0,1.0,1.0,1.0
