,x_coordinate,y_coordinate
0,401.5658416024707,2597.070346706368
1,806.74656855435,1769.0540030712052
2,1658.969343463231,1448.8286273230297
3,2291.71212603233,2681.0695593207406
4,2317.4177170341954,2738.6740898892285
5,2332.7648674903703,2946.9450417370276
6,1707.537757955539,3025.040305633138
7,1476.0767999789894,3050.153553275776
8,1184.407795097488,3009.316421484027
9,845.0153735958334,2921.4533946035017
10,684.3768379623756,2867.400347829753
11,515.1474963399736,2785.8528136588598
12,441.78246484135383,2723.8989566568985
