,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.676164,0.809908,0.809769,0.810224,0.785553
recall,0.684341,0.684341,0.683721,0.683101,0.647442
precision,0.66818,0.99191,0.992796,0.995481,0.998565
