,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.337989,0.318557,0.31315,0.312584,0.309529
recall,0.85952,0.76,0.69344,0.67328,0.6512
precision,0.210353,0.20151,0.20224,0.203541,0.203013
