,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.796281,0.809955,0.803823,0.768868,0.762945
recall,0.754203,0.716573,0.706966,0.652522,0.642914
precision,0.84333,0.931322,0.931435,0.935706,0.938084
