,x_coordinate,y_coordinate
0,2713.0261580544284,2109.0239422891077
1,3135.07175865689,2408.042926441209
2,3125.2538887519167,2443.395950138994
3,3053.2866115134093,2589.588637887219
4,3050.6664612533286,2594.5886694344913
5,3010.7309323880204,2650.3923099761964
6,2891.6054927188075,2618.9899821701015
7,2752.3813096553695,2536.1134877213235
8,2549.8884625848013,2409.979774195883
9,2505.6940807594697,2349.0810529773644
10,2549.4565128398744,2282.8425195584405
11,2651.643998193078,2142.2367889370826
