,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.153607,0.58871,0.588235,0.585366,0.582485
recall,0.426513,0.420749,0.417867,0.414986,0.412104
precision,0.093671,0.979866,0.993151,0.993103,0.993056
