,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.202253,0.207851,0.208549,0.210658,0.212208
recall,0.856,0.6752,0.6448,0.62048,0.53344
precision,0.114674,0.122832,0.12439,0.126865,0.132449
