marker,hierarchy,cluster
AB_CD16,1,CD16+ CD4+ T cell
AB_CD3,1,CD16+ CD4+ T cell
AB_CD8,2,CD16+ CD4+ T cell
AB_CD27,2,CD16+ CD4+ T cell
