,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.5625,0.782857,0.781609,0.780347,0.782609
recall,0.688995,0.655502,0.650718,0.645933,0.645933
precision,0.475248,0.971631,0.978417,0.985401,0.992647
