,x_coordinate,y_coordinate
0,1839.1149497255863,2491.4512149560815
1,1638.3893248698598,1876.327509107945
2,1638.627766433991,1847.228489996182
3,2035.275141449426,1749.459473020218
4,2416.2419191708327,1700.8878211244178
5,2504.2937027279786,1810.1562965867854
6,2524.7380506095824,1854.9239968263837
7,2526.7815257515167,1861.2485555709734
8,2611.903043197793,2239.9223146326403
9,2497.4768027011623,2379.7405099771318
10,2217.714595300276,2590.161828157424
11,2031.6373198200993,2658.2692962291303
12,1950.2416228974266,2624.2045775497927
