,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.923445,0.945274,0.957179,0.921875,0.880223
recall,0.974747,0.959596,0.959596,0.893939,0.79798
precision,0.877273,0.931373,0.954774,0.951613,0.981366
