,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.989727,0.991131,0.991074,0.990913,0.990913
recall,0.993968,0.993333,0.986984,0.986667,0.986667
precision,0.985521,0.988938,0.995198,0.995197,0.995197
