,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.596841,0.668274,0.673977,0.676877,0.668193
recall,0.71936,0.66528,0.61952,0.57984,0.56032
precision,0.509982,0.671295,0.738931,0.812921,0.827505
